*t,st,Value
2040,IL,0.35253069752876975
2041,IL,0.44170618032929704
2042,IL,0.44341554366435404
2043,IL,0.4451809014923747
2044,IL,0.44653715341518585
2045,IL,0.4479955055630209
2046,IL,0.44922807265767567
2047,IL,0.4496592599979534
2048,IL,0.4498128084508779
2049,IL,0.4499229679498255
2050,IL,0.900721926186696
2010,MA,0.10420318576053142
2011,MA,0.1124310765171497
2012,MA,0.12278348399095994
2013,MA,0.11309524538245211
2014,MA,0.12392756518287193
2015,MA,0.13512569446478293
2016,MA,0.148181607413599
2017,MA,0.15738107990856606
2018,MA,0.19210283227786637
2019,MA,0.2071168804713299
2020,MA,0.2369874531157784
2021,MA,0.3883157278408332
2022,MA,0.4277253226063012
2023,MA,0.5249015469832451
2024,MA,0.5437776389560777
2025,MA,0.5598665378757293
2026,MA,0.5772204072899181
2027,MA,0.5949619289524329
2028,MA,0.6215742114462052
2029,MA,0.6481864939399772
2030,MA,0.6570572547712347
2031,MA,0.6747987764337493
2032,MA,0.6836695372650068
2033,MA,0.7014110589275216
2034,MA,0.7102818197587789
2035,MA,0.7280233414212938
2036,MA,0.7457648630838087
2037,MA,0.7546356239150661
2038,MA,0.7723771455775809
2039,MA,0.7812479064088382
2040,MA,0.798989428071353
2041,MA,0.8078601889026105
2042,MA,0.8256017105651253
2043,MA,0.84334323222764
2044,MA,0.8522139930588972
2045,MA,0.869955514721412
2046,MA,0.8788262755526697
2047,MA,0.8965677972151844
2048,MA,0.9143093188776993
2049,MA,0.9320508405402143
2050,MA,0.9497923622027288
2010,ME,0.31308866046532036
2011,ME,0.3510433838190474
2012,ME,0.35569334386439994
2013,ME,0.37174920008460566
2014,ME,0.38620896225099616
2015,ME,0.39029213113499484
2016,ME,0.40017781457520135
2017,ME,0.41333204244490696
2018,ME,0.4051353150776941
2019,ME,0.40568055073334147
2020,ME,0.4371518871931172
2021,ME,0.4598965873386648
2022,ME,0.4887617632503287
2023,ME,0.5157635216306353
2024,ME,0.5525270243635579
2025,ME,0.5891854615652735
2026,ME,0.6258940321435594
2027,ME,0.6632070873767207
2028,ME,0.7006295180369198
2029,ME,0.7383010639853018
2030,ME,0.7852388564870698
2031,ME,0.785911287801817
2032,ME,0.7865492789431102
2033,ME,0.7870395194294338
2034,ME,0.7877439372185767
2035,ME,0.788565197884259
2036,ME,0.7894451426218249
2037,ME,0.7902269035942241
2038,ME,0.7910008291615078
2039,ME,0.791747770176793
2040,ME,0.7924144501637604
2041,ME,0.792998498185651
2042,ME,0.7935191712479568
2043,ME,0.7939920578701851
2044,ME,0.7944280407693616
2045,ME,0.7948172642127169
2046,ME,0.7951511718470661
2047,ME,0.7954909509716374
2048,ME,0.7958164157131419
2049,ME,0.796136084382131
2050,ME,0.9731933530661038
2010,MI,0.0
2011,MI,0.0
2012,MI,0.033180767482067115
2013,MI,0.046564339929746526
2014,MI,0.05698698334944067
2015,MI,0.09282983406124286
