"Dim1","Dim2","Dim3","Val"
"p42","east","2016",0.0146797153022952
"p42","east","2020",0.167751958207078
"p42","east","2021",0.117862643024126
"p42","east","2022",0.11150699691692
"p42","east","2023",0.122417183602993
"p42","east","2024",0.123904315336831
"p42","east","2025",0.129347654089784
"p42","east","2026",0.0412138311109774
"p42","east","2027",0.0862933699269507
"p42","east","2028",0.104514976324567
"p42","east","2029",0.0340939029355645
"p42","east","2030",0.0356080488115016
"p42","east","2031",0.0351180882207822
"p42","east","2032",0.0355781607328076
"p42","east","2033",0.0357697019191507
"p42","east","2034",0.0359273880608002
"p42","east","2035",0.0359574875647548
"p42","east","2036",0.0347722359512594
"p42","east","2037",0.0335933827997632
"p42","east","2038",0.0347070966483534
"p42","east","2039",0.0351822445209246
"p42","east","2040",0.0344027551205365
"p42","east","2041",0.0344027551205365
"p42","east","2042",0.0344027551205365
"p42","east","2043",0.0344027551205365
"p42","east","2044",0.0344027551205365
"p42","east","2045",0.0344027551205365
"p42","east","2046",0.0344027551205365
"p42","east","2047",0.0344027551205365
"p42","east","2048",0.0344027551205365
"p42","east","2049",0.0344027551205365
"p42","east","2050",0.0344027551205365
"p103","east","2010",0.25133679543179
"p103","east","2011",0.26722671361421
"p103","east","2012",0.208581455034769
"p103","east","2013",0.0964755334857806
"p103","east","2014",0.11036547407792
"p103","east","2015",0.119228938600666
"p103","east","2016",0.101201067614308
"p103","east","2017",0.0130757876520588
"p103","east","2018",0.0149289406328118
"p103","east","2019",0.00766039185555129
"p103","east","2020",0.0499894648124737
"p103","east","2021",0.0473148897038457
"p103","east","2022",0.0451121181802131
"p103","east","2023",0.0477928950565965
"p103","east","2024",0.0493945177691293
"p103","east","2025",0.0621318329600345
"p103","east","2026",0.0624461954294779
"p103","east","2027",0.0473907790360796
"p103","east","2028",0.0570791921140769
"p103","east","2029",0.0706886641065968
"p103","east","2030",0.0681820550609414
"p103","east","2031",0.076188900036183
"p103","east","2032",0.0681248255666221
"p103","east","2033",0.0658165028111945
"p103","east","2034",0.0661066464195651
"p103","east","2035",0.0693984561982566
"p103","east","2036",0.0775423711562654
"p103","east","2037",0.0749135189668294
"p103","east","2038",0.0773971099769188
"p103","east","2039",0.0784566936269512
"p103","east","2040",0.0767184258755765
"p103","east","2041",0.0767184258755765
"p103","east","2042",0.0767184258755765
"p103","east","2043",0.0767184258755765
"p103","east","2044",0.0767184258755765
"p103","east","2045",0.0767184258755765
"p103","east","2046",0.0767184258755765
"p103","east","2047",0.0767184258755765
"p103","east","2048",0.0767184258755765
"p103","east","2049",0.0767184258755765
"p103","east","2050",0.0767184258755765
"p127","east","2010",0.36603714420887
"p127","east","2011",0.311689224186349
"p127","east","2012",0.226202076702702
"p127","east","2013",0.153776153384936
"p127","east","2014",0.159507776236565
"p127","east","2015",0.162065683008091
"p127","east","2016",0.110839264544784
"p127","east","2017",0.0130757876520588
"p127","east","2018",0.0149289406328118
"p127","east","2019",0.155674222051479
"p127","east","2020",0.0975984789195914
"p127","east","2021",0.092376689421794
"p127","east","2022",0.0880760402566064
"p127","east","2023",0.0933099379676409
"p127","east","2024",0.0955226395590365
"p127","east","2025",0.108575325079975
"p127","east","2026",0.115959422425557
"p127","east","2027",0.0880022766403293
"p127","east","2028",0.105432102120259
"p127","east","2029",0.129216331223005
"p127","east","2030",0.131089885892484
"p127","east","2031",0.138231129999836
"p127","east","2032",0.133952684649446
"p127","east","2033",0.134167443184555
"p127","east","2034",0.135566543760871
"p127","east","2035",0.13891654614881
"p127","east","2036",0.150374348096911
"p127","east","2037",0.146597888269848
"p127","east","2038",0.151458015019018
"p127","east","2039",0.153531508931495
"p127","east","2040",0.150129901516525
"p127","east","2041",0.150129901516525
"p127","east","2042",0.150129901516525
"p127","east","2043",0.150129901516525
"p127","east","2044",0.150129901516525
"p127","east","2045",0.150129901516525
"p127","east","2046",0.150129901516525
"p127","east","2047",0.150129901516525
"p127","east","2048",0.150129901516525
"p127","east","2049",0.150129901516525
"p127","east","2050",0.150129901516525
"p129","east","2010",0.229400697554159
"p129","east","2011",0.0889250209335087
"p129","east","2012",0.0352412432912834
"p129","east","2013",0.114601239766418
"p129","east","2014",0.0982846043172901
"p129","east","2015",0.0856734888148501
"p129","east","2016",0.0192763938298139
"p129","east","2019",0.296027660391856
"p129","east","2020",0.0952180282142355
"p129","east","2021",0.0901235994358965
