"Dim1","Dim2","Dim3","Val"
"p127","east","2038",0.225721992196906
"p127","east","2039",0.226034773306954
"p127","east","2040",0.221137216194185
"p127","east","2041",0.221137216194185
"p127","east","2042",0.221137216194185
"p127","east","2043",0.221137216194185
"p127","east","2044",0.221137216194185
"p127","east","2045",0.221137216194185
"p127","east","2046",0.221137216194185
"p127","east","2047",0.221137216194185
"p127","east","2048",0.221137216194185
"p127","east","2049",0.221137216194185
"p127","east","2050",0.221137216194185
"p129","east","2010",0.294769581827939
"p129","east","2011",0.319847032139245
"p129","east","2012",0.342732015230886
"p129","east","2013",0.376992254947377
"p129","east","2014",0.306259244666696
"p129","east","2015",0.288325706540716
"p129","east","2016",0.293003860237812
"p129","east","2017",0.349327224611835
"p129","east","2018",0.384181343361684
"p129","east","2019",0.411329395639952
"p129","east","2020",0.40480287979723
"p129","east","2021",0.402916502737196
"p129","east","2022",0.442717355199225
"p129","east","2023",0.445888570916858
"p129","east","2024",0.435257488709081
"p129","east","2025",0.459189633137312
"p129","east","2026",0.456822744736612
"p129","east","2027",0.427572723014734
"p129","east","2028",0.389472144657144
"p129","east","2029",0.382580064885423
"p129","east","2030",0.363328207576086
"p129","east","2031",0.388001900438686
"p129","east","2032",0.360723414705386
"p129","east","2033",0.356489998128248
"p129","east","2034",0.34060536784337
"p129","east","2035",0.340876425505302
"p129","east","2036",0.332490171618224
"p129","east","2037",0.329571859101661
"p129","east","2038",0.329323692236512
"p129","east","2039",0.329283667176971
"p129","east","2040",0.330991996703037
"p129","east","2041",0.330991996703037
"p129","east","2042",0.330991996703037
"p129","east","2043",0.330991996703037
"p129","east","2044",0.330991996703037
"p129","east","2045",0.330991996703037
"p129","east","2046",0.330991996703037
"p129","east","2047",0.330991996703037
"p129","east","2048",0.330991996703037
"p129","east","2049",0.330991996703037
"p129","east","2050",0.330991996703037
"p134","east","2010",0.0270609604156657
"p134","east","2011",0.0262663454198312
"p134","east","2012",0.016677923298919
"p134","east","2013",0.0775554270881588
"p134","east","2014",0.040288805514353
"p134","east","2015",0.0273831621119953
"p134","east","2016",0.0314903722058748
"p134","east","2017",0.0414291218915283
"p134","east","2018",0.0443549911353749
"p134","east","2019",0.0318793961556543
"p134","east","2020",0.0269938594285606
"p134","east","2021",0.0194290591397071
"p134","east","2022",0.0219885076793877
"p134","east","2023",0.0229284210886763
"p134","east","2024",0.02186655233647
"p134","east","2025",0.0265928405122848
"p134","east","2026",0.0248037551785876
"p134","east","2027",0.0161705953978746
"p134","east","2028",0.0200388002844458
"p134","east","2029",0.0206818176706815
"p134","east","2030",0.0232602911981072
"p134","east","2031",0.0246141543871616
"p134","east","2032",0.0236522048451195
"p134","east","2033",0.0242609372059762
"p134","east","2034",0.0240159641004859
"p134","east","2035",0.0248610859952362
"p134","east","2036",0.0252543793550135
"p134","east","2037",0.027392599170874
"p134","east","2038",0.0289286263240034
"p134","east","2039",0.0287829160850319
"p134","east","2040",0.0267435237109598
"p134","east","2041",0.0267435237109598
"p134","east","2042",0.0267435237109598
"p134","east","2043",0.0267435237109598
"p134","east","2044",0.0267435237109598
"p134","east","2045",0.0267435237109598
"p134","east","2046",0.0267435237109598
"p134","east","2047",0.0267435237109598
"p134","east","2048",0.0267435237109598
"p134","east","2049",0.0267435237109598
"p134","east","2050",0.0267435237109598
