"OBJECTID","Country","Name of Line","Owner Name (Company)","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","State or Province From","Country From","State or Province To","Country To","Number of Lines","Line Voltage (kV)","Source Agency","Reference Period"
"52","United States","","Maine Public Service; Twin River Paper Co","47.35409","-68.30282","Twin River Paper","Aroostook","Maine","","","Maine","United States","New Brunswick","Canada","2","69(2)","U.S. Department of Energy","2017"
"53","United States","","Maine Public Service; Twin River Paper Co","46.6079384","-67.8005505","Madawaska/Aroostook","Aroostook","Maine","","","Maine","United States","New Brunswick","Canada","1","138","U.S. Department of Energy","2017"
"54","United States","","Maine Public Service Company","46.79019","-67.79077","Fort Fairfield","Aroostook","Maine","","","Maine","United States","New Brunswick","Canada","1","69","U.S. Department of Energy","2017"
"55","United States","","Maine Public Service Company","46.8253145","-67.7907409","Limestone","Aroostook","Maine","","","Maine","United States","New Brunswick","Canada","1","69","U.S. Department of Energy","2017"
"56","United States","","Maine Electric Power Co","45.85118","-67.79183","Houlton","Aroostook","Maine","","","Maine","United States","New Brunswick","Canada","1","345","U.S. Department of Energy","2017"
"57","United States","","Bangor Hydro-Electric Co","45.2082","-67.4455","Baileyville","Washington","Maine","","","Maine","United States","New Brunswick","Canada","1","345","U.S. Department of Energy","2017"
"58","United States","","Maine Electric Power Co","45.1758568","-67.2913486","Calais","Aroostook","Maine","","","Maine","United States","New Brunswick","Canada","1","69","U.S. Department of Energy","2017"
"59","United States","Nelway 2","Bonneville Power Administration","48.99987","-117.34325","Nelway","Pend Oreille","Washington","","","Washington","United States","British Columbia","Canada","1","230","U.S. Department of Energy","2017"
"60","United States","Nelway 1","Bonneville Power Administration","48.9998","-117.34352","Nelway","Pend Oreille","Washington","","","Washington","United States","British Columbia","Canada","1","230","U.S. Department of Energy","2017"
"61","United States","","Montana Alberta Tie Ltd","48.9803752","-112.2102322","Cutbank","Glacier","Montana","","","Montana","United States","Alberta","Canada","1","230","U.S. Department of Energy","2017"
"62","United States","","Basin Electric Power Coop","48.99827","-103.0228","Tioga","Divide","North Dakota","","","North Dakota","United States","Saskatchewan","Canada","1","230","U.S. Department of Energy","2017"
"63","United States","","Northern States Power","48.99915","-99.55911","Rugby","Rolette","North Dakota","","","North Dakota","United States","Manitoba","Canada","1","230","U.S. Department of Energy","2017"
