r,nercr,transreg,transgrp,cendiv,st,interconnect,country,usda_region,h2ptcreg,hurdlereg,ccreg,Value
p26,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,USA,Mountain,Mountain,PacifiCorp_East,NorthernGrid,c_bool(False)
p27,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,Mountain,Southwest,WAPA_Desert_Southwest_Region,WestConnect,c_bool(False)
z28,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,Mountain,Southwest,Arizona_Public_Service_Co,WestConnect,c_bool(False)
p29,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,USA,Mountain,Southwest,Arizona_Public_Service_Co,WestConnect,c_bool(False)
p31,WECC_SW,WestConnect,WestConnect_South,Mountain,NM,western,USA,Mountain,Southwest,Public_Service_Co_of_New_Mexico,WestConnect,c_bool(False)
p32,WECC_NW,WestConnect,WestConnect_North,Mountain,SD,western,USA,northern-plains,Plains,WAPA_Rocky_Mountain_Region,WestConnect,c_bool(False)
p33,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,USA,Mountain,Mountain,Public_Service_Co_of_Colorado,WestConnect,c_bool(False)
p34,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,USA,Mountain,Mountain,Public_Service_Co_of_Colorado,WestConnect,c_bool(False)
p35,SPP,SPP,SPP_North,West_North_Central,MT,eastern,USA,Mountain,Mountain,SPP,SPP,c_bool(False)
p36,SPP,SPP,SPP_North,West_North_Central,ND,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p37,MISO,MISO,MISO_North,West_North_Central,ND,eastern,USA,northern-plains,Plains,MISO,MISO,c_bool(False)
p38,SPP,SPP,SPP_North,West_North_Central,SD,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p39,SPP,SPP,SPP_North,West_North_Central,NE,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p47,SPP,SPP,SPP_South,West_South_Central,NM,eastern,USA,Mountain,Southwest,SPP,SPP,c_bool(False)
p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,USA,southern-plains,Texas,SPP,SPP,c_bool(False)
p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,USA,southern-plains,Plains,SPP,SPP,c_bool(False)
p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,USA,southern-plains,Plains,SPP,SPP,c_bool(False)
p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,USA,southern-plains,Plains,SPP,SPP,c_bool(False)
p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,USA,northern-plains,Plains,SPP,SPP,c_bool(False)
p54,SPP,SPP,SPP_South,West_North_Central,MO,eastern,USA,corn-belt,Midwest,SPP,SPP,c_bool(False)
p55,SPP,SPP,SPP_South,West_North_Central,MO,eastern,USA,corn-belt,Midwest,SPP,SPP,c_bool(False)
p56,SPP,SPP,SPP_South,West_South_Central,AR,eastern,USA,delta-states,Delta,SPP,SPP,c_bool(False)
p57,SPP,SPP,SPP_South,West_South_Central,TX,eastern,USA,southern-plains,Texas,SPP,SPP,c_bool(False)
p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,USA,delta-states,Delta,MISO,MISO,c_bool(False)
p59,WECC_SW,WestConnect,WestConnect_South,Mountain,TX,western,USA,southern-plains,Texas,El_Paso_Electric,WestConnect,c_bool(False)
p60,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p61,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p62,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p63,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p64,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p65,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,USA,southern-plains,Texas,MISO,MISO,c_bool(False)
p67,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ERCOT,USA,southern-plains,Texas,ERCOT,ERCOT,c_bool(False)
p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p74,MISO,MISO,MISO_North,East_North_Central,MI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p75,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p76,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p77,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p78,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p79,MISO,MISO,MISO_North,East_North_Central,WI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p80,PJM,PJM,PJM_West,East_North_Central,IL,eastern,USA,corn-belt,Midwest,PJM,PJM,c_bool(False)
p81,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p82,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p83,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p84,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p85,MISO,MISO,MISO_South,West_South_Central,AR,eastern,USA,delta-states,Delta,MISO,MISO,c_bool(False)
p86,MISO,MISO,MISO_South,West_South_Central,LA,eastern,USA,delta-states,Delta,MISO,MISO,c_bool(False)
p87,MISO,MISO,MISO_South,East_South_Central,MS,eastern,USA,delta-states,Delta,MISO,MISO,c_bool(False)
p88,SERC_C,SERTP,SERTP,East_South_Central,MS,eastern,USA,delta-states,Delta,Tennessee_Valley_Authority,SERTP,c_bool(False)
p89,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,USA,southeast,southeast,Southern_Co_Services_Inc,SERTP,c_bool(False)
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,USA,southeast,southeast,PowerSouth_Energy_Coop,SERTP,c_bool(False)
p91,SERC_SE,SERTP,SERTP,South_Atlantic,FL,eastern,USA,southeast,Florida,Southern_Co_Services_Inc,SERTP,c_bool(False)
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,USA,appalachia,southeast,Tennessee_Valley_Authority,SERTP,c_bool(False)
p93,SERC_C,SERTP,SERTP,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,Tennessee_Valley_Authority,SERTP,c_bool(False)
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,USA,southeast,southeast,Southern_Co_Services_Inc,SERTP,c_bool(False)
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,USA,southeast,southeast,Duke_Energy_Carolinas_LLC,SERTP,c_bool(False)
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,USA,southeast,southeast,South_Carolina_Electric_Gas_Co,SERTP,c_bool(False)
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,USA,appalachia,southeast,Duke_Energy_Carolinas_LLC,SERTP,c_bool(False)
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,USA,appalachia,southeast,Duke_Energy_Progress_East,SERTP,c_bool(False)
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,USA,southeast,Florida,Seminole_Electric_Coop_Inc,FRCC,c_bool(False)
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,USA,southeast,Florida,Florida_Power_and_Light,FRCC,c_bool(False)
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,USA,lake-states,Midwest,MISO,MISO,c_bool(False)
p104,PJM,PJM,PJM_West,East_North_Central,MI,eastern,USA,lake-states,Midwest,PJM,PJM,c_bool(False)
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,USA,corn-belt,Midwest,MISO,MISO,c_bool(False)
p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,MISO,MISO,c_bool(False)
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,PJM,c_bool(False)
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,PJM,c_bool(False)
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,PJM,c_bool(False)
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,USA,corn-belt,MidAtlantic,PJM,PJM,c_bool(False)
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
z122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,USA,appalachia,MidAtlantic,PJM,PJM,c_bool(False)
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,USA,northeast,MidAtlantic,PJM,PJM,c_bool(False)
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,USA,northeast,NewYork,NYISO,NYISO,c_bool(False)
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,USA,northeast,NewYork,NYISO,NYISO,c_bool(False)
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,USA,northeast,NewEngland,ISONE,ISONE,c_bool(False)
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,USA,northeast,NewEngland,ISONE,ISONE,c_bool(False)
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,USA,northeast,NewEngland,ISONE,ISONE,c_bool(False)
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,USA,northeast,NewEngland,ISONE,ISONE,c_bool(False)
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,USA,northeast,NewEngland,ISONE,ISONE,c_bool(False)
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,USA,northeast,NewEngland,ISONE,ISONE,c_bool(False)
