i,r,t,Value
CoalOldScr,p2,2015,8926678.762025
CoalOldScr,p2,2020,4270757.015712
CoalOldScr,p2,2023,1774447.563972
CoalOldScr,p20,2010,14650353.331014
CoalOldScr,p20,2015,14417258.624568
CoalOldScr,p20,2020,9032101.921662
CoalOldScr,p20,2023,7497012.964649
CoalOldScr,p20,2026,9098902.836605
CoalOldScr,p20,2029,5139679.332337
CoalOldScr,p21,2010,7202935.422
CoalOldScr,p21,2015,7172595.195
CoalOldScr,p21,2020,6765711.917431
CoalOldScr,p21,2023,6599661.745748
CoalOldScr,p21,2026,6630017.778
CoalOldScr,p21,2029,5352521.451
CoalOldScr,p23,2015,2173345.953
CoalOldScr,p23,2020,174499.2
CoalOldScr,p23,2023,174499.2
CoalOldScr,p23,2026,174499.2
CoalOldScr,p23,2029,326207.475343
CoalOldScr,p24,2010,11664772.8264
CoalOldScr,p24,2015,13702002.088828
CoalOldScr,p24,2020,11889265.361034
CoalOldScr,p24,2023,11588647.0176
CoalOldScr,p24,2026,11674141.275206
CoalOldScr,p24,2029,10094743.495163
CoalOldScr,p25,2010,22104798.7776
CoalOldScr,p25,2015,27972010.234422
CoalOldScr,p25,2020,24156834.678633
CoalOldScr,p25,2023,21517127.475779
CoalOldScr,p25,2026,11471788.891018
CoalOldScr,p25,2029,10335392.48997
CoalOldScr,p26,2010,3152430.0936
CoalOldScr,p26,2015,3140130.3048
CoalOldScr,p26,2020,3117695.292
CoalOldScr,p26,2023,3114541.9584
CoalOldScr,p26,2026,3016123.02
CoalOldScr,p26,2029,2908475.131494
CoalOldScr,p29,2010,5398757.04
CoalOldScr,p29,2015,10488760.569918
CoalOldScr,p29,2020,8771429.175208
CoalOldScr,p29,2023,5226158.496
CoalOldScr,p29,2026,8717058.79941
CoalOldScr,p29,2029,5129072.899821
CoalOldScr,p31,2010,12858911.01
CoalOldScr,p31,2015,12791703.21
CoalOldScr,p31,2020,11010785.247
CoalOldScr,p31,2023,5227761.0
