,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p27117,0.13245246913142053,0.0012122259170098406,0.00022643291583650862,0.04555755761868248,9.056161407083147e-06,3.4335723093469964e-05,0.00018300315902626527,0.8170624635344349,0.003262455839088972
p51099,0.06538072978220692,0.04158602219971947,0.20872229744137458,8.511353819889462e-07,0.03716220069703596,4.712156790578798e-10,0.6458942043558884,0.0007855214642389418,0.0004681724529381281
p53025,2.028208044576804e-06,1.9266394058653334e-08,2.1951922610562483e-09,0.24034192927727832,1.7135680060966156e-10,0.7580895080632296,1.6237412885478158e-09,0.001560144536358295,6.3666584047819925e-06
p27129,0.24981458641379034,0.0010869611546662733,0.00035086855830132184,0.021498637260113918,1.672658022628982e-05,1.795515643778728e-05,0.00023913615628866033,0.7253117339322852,0.0016633947878901731
p12001,0.0009756563973626359,0.12594389803364434,0.0003187622024137119,2.1281793120524455e-06,3.404446907624493e-05,3.3596614281977227e-09,0.8583979027048195,0.0012047176848940435,0.01312288696881581
p31091,0.00575877946379146,0.00038510723189279927,1.567369157301952e-05,0.28944201411855175,4.6662747452778616e-07,0.00018494328375945996,2.8735627418196382e-05,0.6897029193893118,0.014481360566226975
p51147,0.07262810637078368,0.10875482041632593,0.09894759157536494,1.5014389856337871e-06,0.013626124264385487,9.908921063932981e-10,0.703085072570365,0.001793643693697469,0.0011631386791998363
p49007,4.18735229071646e-05,7.158038396187578e-06,1.1250662830485484e-07,0.9464642926714022,3.168527807087242e-09,0.01975041072102357,5.484135539844836e-07,0.024804402490816627,0.008931198466744108
p42017,0.026431100636474747,0.00634920822014811,0.47551783706676365,3.334945859816251e-07,0.18742217194700764,2.5105773636117817e-10,0.3040442164531543,0.00015784521392471745,7.728671688316197e-05
p46059,0.03579722704781546,0.00031873005891177886,5.3056152754022486e-05,0.1757324544665373,2.411698433855663e-06,0.00013795619012762434,4.224552510904963e-05,0.7858395261822742,0.002076392678036829
p42081,0.09965471247879744,0.014748843263406523,0.6104075632025971,1.4594430579879496e-06,0.10416033229548642,1.1351531968885098e-09,0.17018536709963672,0.0006525784976489947,0.0001891425842157516
p16057,5.236749601598977e-06,5.2087830765693507e-08,5.7756011604323756e-09,0.5371663099376166,4.2030863377818004e-10,0.45906836615784286,4.401877872414307e-09,0.003745151409059981,1.4873060260437062e-05
p13237,0.014161077589108121,0.2374238427901719,0.0037429951031515713,1.0888825375900821e-05,0.0002200757652596821,1.1092977589099687e-08,0.7224729940118938,0.0106378304746344,0.01133028434742713
p51640,0.10210178917429491,0.33400930120156275,0.045556406544770243,3.783038575717245e-06,0.0027388507271092185,2.759518006504522e-09,0.5070508619805155,0.005060216856226789,0.003478787717426834
p35037,0.0002209699205188164,0.0003387194037255998,8.061724397779017e-07,0.4280301332979255,1.9429026225643797e-08,0.00101766519940179,2.245312910768467e-05,0.08728072640917191,0.48308850703868256
p48269,0.0010539502351721028,0.004133768774353822,4.772820533808407e-06,0.09322894010331685,1.1022957349611277e-07,0.00024544771503665563,0.00032768147082461125,0.05992003011171828,0.8410852985394703
p05073,0.01581612447608876,0.17819941207217985,9.418595647981264e-05,0.0025289333693132637,2.2990952603560875e-06,4.239639749559244e-06,0.013250498206899435,0.057795787714587654,0.7323085194694413
p48451,0.00037382023913297565,0.004354988957767218,1.877329602299529e-06,0.06281460793716287,4.3782798020342467e-08,0.00020152509070574975,0.0003700767056074891,0.01181377502273017,0.9200692849344932
p12049,0.0002121593490698953,0.0337399729951815,6.987194415452027e-05,6.916098662366864e-07,9.553314985330416e-06,1.4434889800809501e-09,0.957263084916932,0.0002857897862704486,0.008418874640051156
p39025,0.4025406412183674,0.36797398253926566,0.0522370461840827,2.527801023937746e-05,0.001210465252335478,1.3443511967029624e-08,0.15028124731708434,0.017480291839889577,0.008251034195223547
p48501,0.0002048801395716019,0.0007380246748802042,8.892223986749099e-07,0.26468671696315255,2.0622448773804614e-08,0.0008632213800168655,6.381567958364093e-05,0.03425453765453982,0.6991878936634077
p41071,3.3344802363208615e-07,5.608685589973594e-09,3.936944707490007e-10,0.04513828218906799,2.5097851726075243e-11,0.9546392470573867,4.2714276715835105e-10,0.0002184592954030817,3.6715554980873306e-06
