# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
city,state,pop_2023,pop_2020,change,mile2,km2,permile2,perkm2,latitude,longitude
Beaumont,TX,112193,115282,-2.68%,82.5,213.7,1397,539,30.08,-94.15
Lansing,MI,112115,112644,-0.47%,39.1,101.3,2881,1112,42.71,-84.56
Murrieta,CA,111878,110949,0.84%,33.6,87.0,3302,1275,33.57,-117.19
Goodyear,AZ,111805,95294,17.33%,191.3,495.5,498,192,33.25,-112.37
Allen,TX,111620,104627,6.68%,26.4,68.4,3963,1530,33.11,-96.67
Tuscaloosa,AL,111338,99600,11.79%,61.9,160.3,1609,621,33.23,-87.53
Everett,WA,111180,110629,0.50%,33.2,86.0,3332,1286,47.95,-122.19
Pueblo,CO,111077,111876,-0.71%,55.4,143.5,2019,780,38.27,-104.61
New Braunfels,TX,110958,90403,22.74%,45.2,117.1,2000,770,29.70,-98.12
South Fulton,GA,110920,107436,3.24%,85.2,220.7,1261,487,33.66,-84.57
Miami Gardens,FL,110717,111640,-0.83%,18.2,47.1,6134,2368,25.95,-80.24
Gresham,OR,110685,114247,-3.12%,23.5,60.9,4862,1877,45.50,-122.44
Temecula,CA,110682,110003,0.62%,37.3,96.6,2949,1139,33.49,-117.13
Rio Rancho,NM,110660,104046,6.36%,103.4,267.8,1006,388,35.29,-106.70
Peoria,IL,110460,113150,-2.38%,48.0,124.3,2357,910,40.75,-89.62
Tyler,TX,110327,105995,4.09%,57.5,148.9,1843,712,32.32,-95.31
Sparks,NV,110323,108445,1.73%,36.4,94.3,2979,1150,39.57,-119.72
Concord,NC,110119,105240,4.64%,63.5,164.5,1657,640,35.39,-80.64
Santa Maria,CA,109987,109707,0.26%,22.8,59.1,4812,1858,34.93,-120.44
Ventura,CA,109058,110763,-1.54%,21.9,56.7,5058,1953,34.27,-119.25
Buckeye,AZ,108909,91502,19.02%,393.0,1017.9,233,90,33.43,-112.64
Downey,CA,108816,114355,-4.84%,12.4,32.1,9222,3561,33.94,-118.13
Sugar Land,TX,108515,111026,-2.26%,40.5,104.9,2741,1058,29.59,-95.63
Costa Mesa,CA,108354,111918,-3.18%,15.8,40.9,7083,2735,33.67,-117.91
Conroe,TX,108248,89956,20.33%,72.0,186.5,1249,482,30.32,-95.49
