"gid","scenario","latitude","longitude","demand_ammonia_kg","demand_biofuel_kg","demand_ldv_kg","demand_metals_kg","demand_methanol_kg","demand_mhdv_kg","demand_ng_kg","demand_refining_kg","demand_storage_kg","demand_synfuel_kg","supply_lte_kg","supply_nuclearhte_kg","supply_smr_kg","total_demand_kg","total_supply_kg"
2457,"Low NG Resource",43.32028563,-73.65631887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458,"Low NG Resource",43.38810816,-88.2341418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2459,"Low NG Resource",43.40952076,-76.46757325,0,0,0,0,0,0,0,0,0,0,0,167804723.004695,0,0,167804723.004695
2460,"Low NG Resource",43.43235593,-83.97910032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2461,"Low NG Resource",43.49458106,-112.0004346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,"Low NG Resource",43.53415244,-96.73483983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463,"Low NG Resource",43.59263374,-84.76195506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2464,"Low NG Resource",43.60764359,-83.88864532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2465,"Low NG Resource",43.61547205,-116.6085124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2466,"Low NG Resource",43.61605362,-84.22073685,0,60427006.7656305,0,0,0,0,0,0,0,0,0,0,0,60427006.7656305,0
2467,"Low NG Resource",43.61778027,-116.2903364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2468,"Low NG Resource",43.66326246,-70.32546065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,"Low NG Resource",43.75134538,-87.75658592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2470,"Low NG Resource",43.78191369,-88.44066046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,"Low NG Resource",43.848521,-104.213903,0,0,0,0,0,0,0,7126604.44905569,0,0,0,0,0,7126604.44905569,0
2472,"Low NG Resource",43.86145311,-91.22609015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2473,"Low NG Resource",44.00941414,-75.81891044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2474,"Low NG Resource",44.02186586,-92.47643185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2475,"Low NG Resource",44.02737286,-88.56407201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2476,"Low NG Resource",44.048202,-91.66599743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2477,"Low NG Resource",44.04908515,-121.3120018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478,"Low NG Resource",44.06495591,-123.0758902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2479,"Low NG Resource",44.08180348,-70.18166745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2480,"Low NG Resource",44.08320259,-103.2449728,0,210533516.224851,0,0,0,0,0,0,0,0,0,0,0,210533516.224851,0
2481,"Low NG Resource",44.11702473,-87.64994648,0,0,0,0,0,0,0,0,0,0,0,258942166.451161,0,0,258942166.451161
2482,"Low NG Resource",44.16579613,-93.99046468,0,58802919.3750517,0,0,0,0,0,0,0,0,0,0,0,58802919.3750517,0
2483,"Low NG Resource",44.24719796,-88.41125098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,"Low NG Resource",44.27388676,-105.487443,0,2552875.3591144,0,0,0,0,0,0,0,0,0,0,0,2552875.3591144,0
2485,"Low NG Resource",44.32428645,-106.6966774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,"Low NG Resource",44.41514358,-95.73902739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2487,"Low NG Resource",44.42352016,-115.2284722,0,34000574.350298,0,0,0,0,0,0,0,0,0,0,0,34000574.350298,0
2488,"Low NG Resource",44.48125227,-73.16160888,0,26015843.9555848,0,0,0,0,0,0,0,0,0,0,0,26015843.9555848,0
2489,"Low NG Resource",44.48618405,-99.81714318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,"Low NG Resource",44.50521797,-88.0415367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2491,"Low NG Resource",44.51001744,-89.55206797,0,240195451.719526,0,0,0,0,0,0,0,0,0,0,0,240195451.719526,0
2492,"Low NG Resource",44.57503713,-123.2867962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2493,"Low NG Resource",44.63237704,-123.0906807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2494,"Low NG Resource",44.72889396,-85.6231178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,"Low NG Resource",44.83654443,-68.74687475,0,49391197.3595895,0,0,0,0,0,0,0,0,0,0,0,49391197.3595895,0
2496,"Low NG Resource",44.85826795,-91.4445609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497,"Low NG Resource",44.867835,-120.8335784,0,47932941.7704678,0,0,0,0,0,0,0,0,0,0,0,47932941.7704678,0
2498,"Low NG Resource",44.90548033,-89.62654488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2499,"Low NG Resource",44.93482872,-123.0100961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,"Low NG Resource",44.97811307,-93.28104717,0,176408758.125155,0,666666666.666666,0,0,0,170537718.356592,0,0,0,211855870.422535,0,1013613143.14841,211855870.422535
2501,"Low NG Resource",45.15282681,-122.8524907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2502,"Low NG Resource",45.21445877,-123.1734816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,"Low NG Resource",45.51955858,-122.6508928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2504,"Low NG Resource",45.57184505,-94.19397895,0,58802919.3750517,0,0,0,0,0,0,0,0,0,120955173.70892,0,58802919.3750517,120955173.70892
2505,"Low NG Resource",45.59,-95.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2506,"Low NG Resource",45.68387272,-111.0562299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2507,"Low NG Resource",45.79131521,-108.5310087,0,34148850.6840916,0,0,0,0,0,72190576.9596236,0,0,0,0,0,106339427.643715,0
2508,"Low NG Resource",45.98480748,-112.5170056,0,17074425.3420458,0,0,0,0,0,0,0,0,0,0,0,17074425.3420458,0
2509,"Low NG Resource",46.03920216,-118.3523501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510,"Low NG Resource",46.14246189,-122.9456241,15243902.4390244,13904997.9994149,0,0,0,0,0,0,0,0,0,0,0,29148900.4384393,0
2511,"Low NG Resource",46.23810529,-119.1938525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,"Low NG Resource",46.26693022,-93.64810441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,"Low NG Resource",46.38866178,-117.0249628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
